"tag","mirror","repetitions","successes","expected_size","median_elapsed_s","min_elapsed_s","max_elapsed_s"
"SC_2X_1Y_V1","ftp","3","3","90987","0.075694","0.031064","0.238536"
"SC_2X_1Y_V1","zenodo","3","3","90987","1.090744","1.052041","1.744951"
"SLA_2X_1Y_V1","ftp","3","3","505273","0.355555","0.049620","0.386581"
"SLA_2X_1Y_V1","zenodo","3","3","505273","2.719925","2.050732","2.725895"
"ELEV_4X_1Y_V1","ftp","3","3","810299","0.071294","0.062083","0.074325"
"ELEV_4X_1Y_V1","zenodo","3","3","810299","3.385503","3.376272","6.448854"
"CH_20X_1Y_V1","ftp","3","3","4207244","0.244456","0.188491","0.262220"
"CH_20X_1Y_V1","zenodo","3","3","4207244","14.092224","13.687111","14.729511"
